2015-03-08 12:58:08,518 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 12:58:08,530 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 00419162jn3qJWnI2uieYS53HbYzkVNpc= started
2015-03-08 12:58:08,530 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:58:19,540 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:58:19,592 INFO  [Plumbr thread - 7] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 17249
2015-03-08 12:58:28,531 INFO  [Plumbr thread - 7] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 12:58:33,237 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:58:34,003 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:58:34,003 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:58:34,067 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:58:34,973 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:58:35,020 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:58:35,023 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, class_stats, contention, gc, gcmbean, heap]
2015-03-08 12:58:35,035 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191e8US8lIjfTuYe_tHAo5AtMkWSHc= started
2015-03-08 12:58:35,035 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:58:47,044 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:58:47,090 INFO  [Plumbr thread - 13] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 17980
2015-03-08 12:58:49,430 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:58:50,034 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:58:50,035 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:58:50,099 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:58:51,062 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:58:51,108 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:58:51,110 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, class_stats, contention, gc, gcmbean, heap]
2015-03-08 12:58:51,122 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191y4jaMdgNps-OMv_-c6Hotp1NO4k= started
2015-03-08 12:58:51,122 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:59:03,135 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:59:03,149 INFO  [Plumbr thread - 4] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 17578
2015-03-08 12:59:11,123 INFO  [Plumbr thread - 14] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 12:59:19,524 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:59:20,120 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:59:20,120 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:59:20,187 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:59:21,112 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:59:21,173 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:59:21,175 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, class_stats, contention, gc, gcmbean, heap]
2015-03-08 12:59:21,188 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:59:21,188 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191hCZ68slDm7NZl9DjvrTxB7fG2Xc= started
2015-03-08 12:59:32,196 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:59:32,204 INFO  [Plumbr thread - 5] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 17237
2015-03-08 12:59:34,731 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:59:35,324 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:59:35,324 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:59:35,390 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:59:36,341 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
